"title","tenant","room","Date","Created Date","isPaid","amount","Paidat","receipturl","invoiceid","ID","invoiceurl","property","tenancy","type","Accountid","Productid","referenceid","Bukku_invoice_id","Updated Date","Owner","client"
"February - Meridin Bayvue B2-19-12 Standard Room - Agreement Fees","0e88a760-7a70-4e6d-87a9-f6cbd9a3d405","2de68ab4-ff54-4be0-aaea-ae6ca81eb6a4",2026-02-01T00:00:00Z,2025-12-24T03:30:47Z,true,250,2025-12-24T04:37:06Z,"https://colivingmanagement.bukku.my/l/c8Cx5LNQH1","IV-02499","03b3d33e-bc75-47c1-9b20-08ae06977817","https://colivingmanagement.bukku.my/l/cIIYADGkDk","4155d4f3-9438-448a-8c5e-d49dd1272646","f57ede7f-8ea6-4f04-891d-e5cc05a99719","3411c69c-bfec-4d35-a6b9-27929f9d5bf6",20,3,"RC-mjjisj54",10301,2026-02-19T08:59:02Z,"a1b06860-22d8-4493-ae60-65dfd19af60e","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"October 2025 - Rental Income","b70b097a-6c8d-4923-9550-d0345c2beae0","9a822793-c475-4a06-9ac5-8bbdacd6485e",2025-10-01T00:00:00Z,2025-09-14T15:20:22Z,true,500,,"https://colivingmanagement.bukku.my/l/aBv4-8a7ul","IV-00866","03bae565-3718-4065-9546-541b5e238fa9","https://colivingmanagement.bukku.my/l/dT8guQ-GCF","2cf0712d-2d16-4843-b80e-a2b438b20421","83c93205-fe3a-4171-85ee-317d3fbc785f","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,"RC-mg3l9e25",6677,2026-02-19T08:59:02Z,"bad279a4-e309-4354-a70f-2a1b0818317f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"October 2025 - Rental Income","602b8030-643d-4959-b1a9-5855d06cd10a","b3d28e78-dba9-41a9-8836-2212a784b1ae",2025-10-01T00:00:00Z,2025-09-14T15:20:16Z,true,800,,"https://colivingmanagement.bukku.my/l/b3qzZsCW-D","IV-00838","03cf54e2-4f41-4934-a212-cf55ac2b735f","https://colivingmanagement.bukku.my/l/bG8KWHVfd2","2cf0712d-2d16-4843-b80e-a2b438b20421","1c8f8a76-2088-4111-b14e-d3226d4d5f36","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,"RC-mg64wt5d",6649,2026-02-19T08:59:02Z,"bad279a4-e309-4354-a70f-2a1b0818317f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"February - Meridin Bayvue B1-20-03a Master Room - Rental Income","e5692849-9caa-4533-aaa1-098b6d165db1","d7f17468-3f8a-4027-8827-f64d24f78d8f",2026-02-01T04:00:00Z,2025-12-22T00:52:55Z,true,1100,2026-01-29T20:48:00Z,"https://colivingmanagement.bukku.my/l/bcWItcWbHK","IV-02456","0430cb63-4e42-4c82-87e6-f884054eaa59","https://colivingmanagement.bukku.my/l/aUwFm-__vL","3faf9896-9e64-4092-93ec-603e692bae24","63f58645-8bf9-4e63-ad8c-01cb04f0b10c","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,"RC-mkzxdiiy",10231,2026-02-19T08:59:02Z,"a1b06860-22d8-4493-ae60-65dfd19af60e","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"January 2027 - Rental Income","2bd12606-e435-4679-a34f-8f928229309c","24dff256-86c4-4fbf-8ad1-9027dd044b38",2027-01-01T00:00:00Z,2025-09-14T15:20:28Z,,2400,,,"IV-01069","0436e529-f42f-47b2-b1b1-333d4a33eced","https://colivingmanagement.bukku.my/l/dduNKjqEpS","f18c6f5a-eccf-4af8-9334-721d98013a6d","b3d7164c-e69e-4992-8b83-cc6df81b610f","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,,6880,2026-02-19T08:59:02Z,"bad279a4-e309-4354-a70f-2a1b0818317f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"December - Tri Tower A-18-03 Balcony Room - Rental Income","5514b813-b6b1-4289-95af-0591dbb82bcd","b0750e3c-4615-4b18-912d-05325a97ea34",2025-12-31T16:00:00Z,2025-12-02T08:16:25Z,true,35,2025-12-03T01:01:12Z,"https://colivingmanagement.bukku.my/l/dKSYTYuYR8","IV-02319","0498668d-096f-4900-9550-cbbf65fb2152","https://colivingmanagement.bukku.my/l/cX86DokzBh","1119da1b-7b56-4b65-9ca1-800757e29764","00a16fdb-fb79-4a4b-b9ca-6addd64b04ff","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,"RC-mipask6i",9956,2026-02-19T08:59:02Z,"f7e698cb-0d8d-42d1-91c8-b9ff12f1486f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"January - Meridin Bayvue B1-20-03a Master Room - Agreement Fees","e5692849-9caa-4533-aaa1-098b6d165db1","d7f17468-3f8a-4027-8827-f64d24f78d8f",2026-01-01T00:00:00Z,2025-12-22T00:52:55Z,true,250,2025-12-22T19:16:31Z,"https://colivingmanagement.bukku.my/l/cOf9Unjnjk","IV-02579","04ea9d81-255b-41ec-bc37-37ff99769b26","https://colivingmanagement.bukku.my/l/cOLMomrEWo","3faf9896-9e64-4092-93ec-603e692bae24","63f58645-8bf9-4e63-ad8c-01cb04f0b10c","3411c69c-bfec-4d35-a6b9-27929f9d5bf6",20,3,"RC-mjhjdsj",10436,2026-02-19T08:59:02Z,"a1b06860-22d8-4493-ae60-65dfd19af60e","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"March - Paragon Suite A-29-05 Standard Room 1 - Rental Income","d42eee8b-c4f5-4b1e-bd66-1c843ae47aff","62b1e475-3497-4415-aaf0-db602b7b2034",2026-03-01T00:00:00Z,2025-10-30T05:15:10Z,,750,,,"IV-02131","05155312-7486-4717-a5e7-01ed22b0010f","https://colivingmanagement.bukku.my/l/bnZGXxj0v_","5981792a-cba0-4215-b391-e6c352f3f3bb","e4a1ab8d-c52d-4450-8f44-f77c64a5c953","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,,9585,2026-02-19T08:59:02Z,"f7e698cb-0d8d-42d1-91c8-b9ff12f1486f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"October 2025 - Rental Income","07bc2d51-a270-4c5f-ab8c-752127566102","f5bf2926-c636-4850-a048-4ecf562364a5",2025-10-01T00:00:00Z,2025-09-14T15:20:31Z,true,950,2025-10-01T04:55:18Z,"https://colivingmanagement.bukku.my/l/bRDowiKQ8C","IV-00904","05a5211e-5cd4-4fbf-90ae-c0d3940c27a4","https://colivingmanagement.bukku.my/l/bmS0YrfEO6","6db13fb0-3b98-43ff-b84c-7e4b5560a3b6","86b34592-1480-465e-9d41-02e60d5d5cc9","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,"RC-mg7igklz",6715,2026-02-19T08:59:02Z,"bad279a4-e309-4354-a70f-2a1b0818317f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"February 2026 - Rental Income","da3f3823-7538-477b-9d4d-c3059f028f20","af8f9063-31bd-4b6d-b54a-8c25b9a1fdc6",2026-02-01T00:00:00Z,2025-09-14T15:19:58Z,true,600,2026-02-01T01:17:10Z,"https://colivingmanagement.bukku.my/l/d25imcfF_r","IV-00832","05ba385d-805c-4720-bb0a-8ba7ef9b6e1b","https://colivingmanagement.bukku.my/l/aFLwoBB2Db","c0fba2d6-05e0-4b27-9cb7-a281e6430ac9","a573ded5-8083-4f0d-baa0-d36b6821b3ee","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,"RC-ml31r6sp",6643,2026-02-19T08:59:02Z,"bad279a4-e309-4354-a70f-2a1b0818317f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"October - Meridin Bayvue B1-07-13a Master Room - Deposit Add-on","388b9a8c-7a80-434f-8119-6b4d80b26978","69f6eb67-6a67-496d-8901-8a0b0e03a0ab",2025-10-26T11:42:31Z,2025-10-26T11:42:32Z,true,500,2025-10-28T06:14:14Z,"https://colivingmanagement.bukku.my/l/brsoxSRqXi","IV-02057","05bbaaeb-2199-41a0-983a-0e233b6f9455","https://colivingmanagement.bukku.my/l/cYn2Mnzr2Y","c0fba2d6-05e0-4b27-9cb7-a281e6430ac9","0d961896-ca8c-4815-943c-8a81ebc44c1a","d3f72d51-c791-4ef0-aeec-3ed1134e5c86",52,2,"RC-mha65rkj",9482,2026-02-19T08:59:02Z,"bad279a4-e309-4354-a70f-2a1b0818317f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"October 2025 - Rental Income","7f55a518-1973-4412-a129-bc749b929276","174ef75f-fa07-4bf0-bb88-f743339a50bf",2025-10-01T00:00:00Z,2025-09-14T15:19:57Z,true,600,,"https://colivingmanagement.bukku.my/l/bvuN2Yqb8q","IV-00772","06170fcb-2e70-42ac-8d2b-f6543496bfb4","https://colivingmanagement.bukku.my/l/bxcRrHasFz","3faf9896-9e64-4092-93ec-603e692bae24","f07d1385-577c-4641-b042-7236ed82a58f","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,"RC-mg61634w",6583,2026-02-19T08:59:02Z,"bad279a4-e309-4354-a70f-2a1b0818317f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"January 2026 - Rental Income","f40561f0-1f5c-4629-8caf-5ab61940a840","4e7e0462-acce-4c7b-a921-7101a46f0399",2026-01-01T00:00:00Z,2025-09-14T15:20:19Z,true,1550,2025-12-24T11:54:34Z,"https://colivingmanagement.bukku.my/l/dNSDSxgnZ-","IV-00923","06299c33-bef9-41b4-922c-24977fd29cf3","https://colivingmanagement.bukku.my/l/b8KQfwd8tC","1119da1b-7b56-4b65-9ca1-800757e29764","643b2a2d-d432-4dd2-beb2-a4cef1cfada7","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,"RC-mjjyfwcg",6734,2026-02-19T08:59:02Z,"bad279a4-e309-4354-a70f-2a1b0818317f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"May - Meridin Bayvue B1-10-05 Master Room - Rental Income","acd1c031-63a5-49e7-b384-14f2a60afae0","7e68c424-aa3d-4ef6-bdd2-b6e4b0b621f6",2026-05-01T04:00:00Z,2025-10-30T04:17:59Z,,800,,,"IV-02464","0670b04e-20d4-4956-8173-1dd712468f6f","https://colivingmanagement.bukku.my/l/czArrMc_OK","beaf7c8c-e161-4e8f-b30e-376c0d94be25","26e78ff1-68a4-43bc-a855-7516a19b4c64","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,,10239,2026-02-19T08:59:02Z,"f7e698cb-0d8d-42d1-91c8-b9ff12f1486f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"October - Meridin Bayvue B2-19-12 Balcony Room - Owner Comission","8e0fc272-7380-452f-840f-55178597e795","23c94dd3-f56c-4065-a495-f010e16690d8",2025-10-01T04:00:00Z,2025-09-30T01:27:51Z,true,300,,,"IV-01544","06d9dd81-3c5d-45ee-9c54-7d60687e1419","https://colivingmanagement.bukku.my/l/dhaT-V7-tI","4155d4f3-9438-448a-8c5e-d49dd1272646","1b12f21b-bca4-40cd-8e5a-28399a6f7af4","86da59c0-992c-4e40-8efd-9d6d793eaf6a",64,11,,7663,2026-02-19T08:59:02Z,"f7e698cb-0d8d-42d1-91c8-b9ff12f1486f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"December 2025 - Rental Income","a76da61b-df1c-4049-a366-d72dcf064df5","f3335a57-a272-4c8d-b063-915c0ebc4d2c",2025-12-01T00:00:00Z,2025-09-14T15:20:14Z,true,600,2025-11-30T01:07:26Z,"https://colivingmanagement.bukku.my/l/c2fyxJ4XVN","IV-00874","06dbab84-2c61-4eaf-a810-474cc9e5955d","https://colivingmanagement.bukku.my/l/cRWkr0cqVh","c0fba2d6-05e0-4b27-9cb7-a281e6430ac9","b26d3537-4e8a-47d1-b128-4976f7dd4910","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,"RC-mil0reyo",6685,2026-02-19T08:59:02Z,"bad279a4-e309-4354-a70f-2a1b0818317f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"January 2026 - Rental Income","25be20ab-a0de-442a-b6d0-1325de31baab","063b8e70-666f-403b-8395-2e352a4faa90",2026-01-01T00:00:00Z,2025-09-14T15:20:02Z,true,700,2026-01-06T08:42:41Z,"https://colivingmanagement.bukku.my/l/aRgBNK5D_m","IV-00833","070f44aa-de0c-41d3-922a-e7100b3dbb03","https://colivingmanagement.bukku.my/l/cQgt3_dIhm","6db13fb0-3b98-43ff-b84c-7e4b5560a3b6","5f495542-1482-47eb-8acb-15ab99274ede","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,"RC-mk2cbc5e",6644,2026-02-19T08:59:02Z,"bad279a4-e309-4354-a70f-2a1b0818317f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"December - Aliff Residences B-13-07 Standard Room - Rental Income","17e79a3f-e22b-4ef7-b538-76e2ba20c046","2e296b44-c922-40cf-a3d9-e756cff640b1",2025-12-01T00:00:00Z,2025-10-06T02:25:18Z,true,700,2025-11-21T11:01:59Z,"https://colivingmanagement.bukku.my/l/dLzTS3-xhz","IV-01696","07a8afbb-a42c-4694-b8cc-703829d9a69f","https://colivingmanagement.bukku.my/l/cZYSkV7oBz","31e9f13e-8494-4000-bee6-85306326a98a","4f914820-9400-48a5-9527-f21c87552cbe","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,"RC-mi8r0usf",7875,2026-02-19T08:59:02Z,"f7e698cb-0d8d-42d1-91c8-b9ff12f1486f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"March 2026 - Rental Income","548f3c5f-ab09-40e3-b124-8d2c68f4e84d","d1b8aa52-af7e-4ce4-bc49-86608d903006",2026-03-01T00:00:00Z,2025-09-14T15:20:18Z,true,2150,2026-02-26T15:04:38Z,,"IV-00955","07b6df74-b8eb-413b-8791-197c0399ad45","https://colivingmanagement.bukku.my/l/cK5QX76uOc","1119da1b-7b56-4b65-9ca1-800757e29764","27d5f5f4-ab6e-4708-9f80-7b26525b485b","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,"RC-mm3lekfv",6766,2026-02-26T15:15:09Z,"bad279a4-e309-4354-a70f-2a1b0818317f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"November - Paragon Suite A-29-05 Small Room - Rental Income","4d2834cf-8c4a-4eb8-be1e-628d05f660d4","1dd25e1b-ec08-4bfb-981a-47eb98f21d73",2025-11-04T16:00:00Z,2025-11-03T01:33:16Z,true,450,2025-11-05T04:39:58Z,"https://colivingmanagement.bukku.my/l/cYxg3IbYi5","IV-02150","0903c610-5d1b-4318-9ca1-fd2b4b3c2d8e","https://colivingmanagement.bukku.my/l/bnhMWs6xtF","5981792a-cba0-4215-b391-e6c352f3f3bb","5f9cd58d-1dad-46ec-802b-cfd37e7a1387","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,"RC-mhlicnv1",9653,2026-02-19T08:59:02Z,"f7e698cb-0d8d-42d1-91c8-b9ff12f1486f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"November - Meridin Bayvue B2-19-12 Small Room - Rental Income","6d386287-5491-484c-88cf-3877890cf838","cfa07d63-8e83-45d4-a49d-98d5f97d3e89",2025-11-01T00:00:00Z,2025-10-02T03:51:55Z,true,600,2025-10-04T00:26:19Z,"https://colivingmanagement.bukku.my/l/aHSC-0pzfF","IV-01625","09042204-b1b6-4dc9-96c8-512c85bdc3d6","https://colivingmanagement.bukku.my/l/bjA2XioDsi","4155d4f3-9438-448a-8c5e-d49dd1272646","a6a7142a-219c-4f8f-8315-9cda36e3d838","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,"RC-mgbiyyhi",7778,2026-02-19T08:59:02Z,"f7e698cb-0d8d-42d1-91c8-b9ff12f1486f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"June - Paragon Suite A-18-05 Master Room 1 - Rental Income","6cbf2efe-fb21-480d-9f52-326a2756c5b6","095bce46-e254-4805-9765-a7d9fbc92d05",2026-06-01T00:00:00Z,2025-11-27T07:28:59Z,,1400,,,"IV-02286","09a1218c-9ff4-4b55-a2ea-c9a59d4c895a","https://colivingmanagement.bukku.my/l/dz8nw88uV6","ab2f9b6a-402a-4593-a939-f306dc976067","cf3b27d1-9552-4154-9bb7-398d80620c8f","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,,9883,2026-02-19T08:59:02Z,"f7e698cb-0d8d-42d1-91c8-b9ff12f1486f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"May - Paragon Suite A-29-05 Standard Room 1 - Rental Income","d42eee8b-c4f5-4b1e-bd66-1c843ae47aff","62b1e475-3497-4415-aaf0-db602b7b2034",2026-05-01T00:00:00Z,2025-10-30T05:15:10Z,,750,,,"IV-02133","09b8862d-81e4-4c26-88cc-89f6fb518658","https://colivingmanagement.bukku.my/l/dqTKdaiXZq","5981792a-cba0-4215-b391-e6c352f3f3bb","e4a1ab8d-c52d-4450-8f44-f77c64a5c953","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,,9587,2026-02-19T08:59:02Z,"f7e698cb-0d8d-42d1-91c8-b9ff12f1486f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"August - Meridin Bayvue B1-07-13a Master Room - Rental Income","388b9a8c-7a80-434f-8119-6b4d80b26978","69f6eb67-6a67-496d-8901-8a0b0e03a0ab",2027-08-01T00:00:00Z,2025-10-26T11:42:32Z,,1100,,,"IV-02080","09db5aae-877e-4982-869b-2dc9371ce5ed","https://colivingmanagement.bukku.my/l/balVNDEVPN","c0fba2d6-05e0-4b27-9cb7-a281e6430ac9","0d961896-ca8c-4815-943c-8a81ebc44c1a","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,,9505,2026-02-19T08:59:02Z,"bad279a4-e309-4354-a70f-2a1b0818317f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"March 2026 - Rental Income","2bd12606-e435-4679-a34f-8f928229309c","24dff256-86c4-4fbf-8ad1-9027dd044b38",2026-03-01T00:00:00Z,2025-09-14T15:20:28Z,,2400,,,"IV-00984","0a20c213-61a9-4315-baa9-fbd166ee46c7","https://colivingmanagement.bukku.my/l/bLKimhybEo","f18c6f5a-eccf-4af8-9334-721d98013a6d","b3d7164c-e69e-4992-8b83-cc6df81b610f","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,,6795,2026-02-19T08:59:02Z,"bad279a4-e309-4354-a70f-2a1b0818317f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"March 2026 - Rental Income","9ad27e8b-7145-4220-bd3b-0ba20f39b50b","f69bbff1-158d-4eea-b333-036242a6a9c3",2026-03-01T00:00:00Z,2025-09-14T15:19:58Z,true,600,2026-02-27T14:16:04Z,,"IV-00857","0a618fc3-bcdd-4875-a91d-e3a1d3870efd","https://colivingmanagement.bukku.my/l/deQKrkUI_e","6db13fb0-3b98-43ff-b84c-7e4b5560a3b6","02ee7674-40f8-47ca-baf6-55090dd79812","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,"RC-mm4z4q7h",6668,2026-02-27T14:16:04Z,"bad279a4-e309-4354-a70f-2a1b0818317f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"Mar 2026 - Meridin Bayvue B2-19-12 Small Room - Agreement Fees","0d0a8352-64c4-431c-ac5a-15554e4257e1","cfa07d63-8e83-45d4-a49d-98d5f97d3e89",2026-03-08T16:00:00Z,2026-02-10T10:50:52Z,true,250,2026-02-16T08:39:45Z,"https://colivingmanagement.bukku.my/l/c_PmaSKKy1","IV-02753","0b95ab30-ae21-4003-811e-d2cb1d6e082e","https://colivingmanagement.bukku.my/l/bBe2Qla1kv","4155d4f3-9438-448a-8c5e-d49dd1272646","df32c93c-e9dd-47e0-84c1-da495b462484","3411c69c-bfec-4d35-a6b9-27929f9d5bf6",20,3,"RC-mlox7w7t",10769,2026-02-19T08:59:02Z,"4603e922-975d-4dea-a482-3cce8a0e1539","817f6510-47ac-4f8f-9828-d2fd91cb406f"
